steps,config,model,n_head,n_layer,lr,n_kv_head,model_size_m,train_loss,val_loss,train_acc,val_acc,elapsed_s
2000,GQA_h8_kv4_l8_lr0.01,GQA,8,8,0.01,4,1.9931,1.5943362712860107,1.7702100276947021,0.515185534954071,0.47810059785842896,1482.8
2000,GQA_h8_kv2_l8_lr0.01,GQA,8,8,0.01,2,1.9276,1.603405237197876,1.7729651927947998,0.51025390625,0.47478026151657104,1298.7
2000,MHA_h8_l8_lr0.01,MHA,8,8,0.01,—,2.1242,1.6188600063323975,1.7935879230499268,0.510571300983429,0.47160643339157104,2270.8
2000,MHA_h4_l4_lr0.01,MHA,4,4,0.01,—,1.0746,1.6052404642105103,1.7914478778839111,0.5129638910293579,0.4702392518520355,958.1
2000,GQA_h8_kv4_l4_lr0.01,GQA,8,4,0.01,4,1.009,1.6059484481811523,1.7909797430038452,0.509106457233429,0.4676757752895355,1058.5
2000,GQA_h4_kv2_l4_lr0.01,GQA,4,4,0.01,2,1.009,1.612143874168396,1.8043073415756226,0.508349597454071,0.466796875,964.7
2000,GQA_h16_kv8_l4_lr0.01,GQA,16,4,0.01,8,1.009,1.6302992105484009,1.8007586002349854,0.5042724609375,0.4650634825229645,1267.7
2000,MHA_h16_l4_lr0.01,MHA,16,4,0.01,—,1.0746,1.6192286014556885,1.8129733800888062,0.508471667766571,0.45988768339157104,1236.3
2000,MHA_h8_l4_lr0.01,MHA,8,4,0.01,—,1.0746,1.66217041015625,1.8420674800872803,0.49943846464157104,0.45512694120407104,1055.7
2000,MHA_h2_l4_lr0.01,MHA,2,4,0.01,—,1.0746,1.6649001836776733,1.865530252456665,0.4944091737270355,0.4466796815395355,939.4
2000,GQA_h16_kv4_l6_lr0.03,GQA,16,6,0.03,4,1.4519,2.5858633518218994,2.588547706604004,0.25187987089157104,0.2506347596645355,1527.2
2000,GQA_h8_kv2_l6_lr0.03,GQA,8,6,0.03,2,1.4519,2.67101788520813,2.6823740005493164,0.23698730766773224,0.23601074516773224,1441.9
2000,MHA_h4_l6_lr0.03,MHA,4,6,0.03,—,1.5994,2.79359769821167,2.79951548576355,0.22353515028953552,0.22783203423023224,1564.9
2000,MHA_h4_l8_lr0.03,MHA,4,8,0.03,—,2.1242,2.758439302444458,2.7728826999664307,0.22561034560203552,0.22653809189796448,2270.4
2000,GQA_h8_kv2_l4_lr0.03,GQA,8,4,0.03,2,0.9763,2.6952319145202637,2.7271015644073486,0.22780761122703552,0.22622069716453552,1004.7
2000,MHA_h4_l2_lr0.03,MHA,4,2,0.03,—,0.5498,2.820406913757324,2.8236842155456543,0.21750488877296448,0.22089843451976776,446.6
2000,MHA_h8_l6_lr0.1,MHA,8,6,0.1,—,1.5994,2.9730031490325928,2.9925389289855957,0.19475097954273224,0.19582518935203552,1496.9
2000,MHA_h8_l6_lr0.03,MHA,8,6,0.03,—,1.5994,3.0027565956115723,3.008678913116455,0.18625488877296448,0.19155272841453552,1708.2
2000,GQA_h8_kv1_l6_lr0.1,GQA,8,6,0.1,1,1.4273,3.0212974548339844,3.0436742305755615,0.19133301079273224,0.19033202528953552,1299.9
2000,GQA_h4_kv1_l6_lr0.1,GQA,4,6,0.1,1,1.4519,3.144078016281128,3.1757845878601074,0.16611328721046448,0.16423340141773224,1196.5
