config,step,train_loss,val_loss,train_acc,val_acc
MHA_h4_l2_lr0.03,1,3.344245195388794,3.367727756500244,0.20427246391773224,0.20351561903953552
MHA_h4_l2_lr0.03,250,2.778622627258301,2.7990593910217285,0.22568359971046448,0.2254638671875
MHA_h4_l2_lr0.03,500,2.692592144012451,2.7343804836273193,0.23542480170726776,0.23212890326976776
MHA_h4_l2_lr0.03,750,2.760509967803955,2.7639729976654053,0.225830078125,0.22768554091453552
MHA_h4_l2_lr0.03,1000,2.7493348121643066,2.7854042053222656,0.22934570908546448,0.22978515923023224
MHA_h4_l2_lr0.03,1250,2.7399637699127197,2.766339063644409,0.2333984375,0.23232421278953552
MHA_h4_l2_lr0.03,1500,2.785801410675049,2.7875466346740723,0.21823731064796448,0.21843262016773224
MHA_h4_l2_lr0.03,1750,2.7668583393096924,2.7858307361602783,0.2283935546875,0.22775879502296448
MHA_h4_l2_lr0.03,2000,2.820406913757324,2.8236842155456543,0.21750488877296448,0.22089843451976776
MHA_h2_l4_lr0.01,1,3.4082648754119873,3.4448444843292236,0.17539063096046448,0.17255859076976776
MHA_h2_l4_lr0.01,250,2.271160364151001,2.312333345413208,0.3350585997104645,0.3256591856479645
MHA_h2_l4_lr0.01,500,1.9868974685668945,2.0800793170928955,0.41010743379592896,0.39140623807907104
MHA_h2_l4_lr0.01,750,1.836450219154358,1.9848159551620483,0.4515380859375,0.41669923067092896
MHA_h2_l4_lr0.01,1000,1.7906032800674438,1.9546682834625244,0.4625488221645355,0.42802733182907104
MHA_h2_l4_lr0.01,1250,1.7318744659423828,1.8884055614471436,0.4740966856479645,0.440185546875
MHA_h2_l4_lr0.01,1500,1.7109295129776,1.9169223308563232,0.4826416075229645,0.44230955839157104
MHA_h2_l4_lr0.01,1750,1.695935845375061,1.8804601430892944,0.4869628846645355,0.45166015625
MHA_h2_l4_lr0.01,2000,1.6649001836776733,1.865530252456665,0.4944091737270355,0.4466796815395355
MHA_h4_l4_lr0.01,1,3.407458543777466,3.4436252117156982,0.1759033203125,0.1732177734375
MHA_h4_l4_lr0.01,250,2.2345829010009766,2.2817881107330322,0.34357911348342896,0.3310302793979645
MHA_h4_l4_lr0.01,500,1.9992660284042358,2.098362684249878,0.4068603515625,0.3852294981479645
MHA_h4_l4_lr0.01,750,1.8377918004989624,1.997606873512268,0.4512695372104645,0.41425782442092896
MHA_h4_l4_lr0.01,1000,1.7641910314559937,1.9423396587371826,0.47370606660842896,0.43269044160842896
MHA_h4_l4_lr0.01,1250,1.7035611867904663,1.8681690692901611,0.4875732362270355,0.4487548768520355
MHA_h4_l4_lr0.01,1500,1.6521192789077759,1.85585618019104,0.5033203363418579,0.4577392637729645
MHA_h4_l4_lr0.01,1750,1.632398247718811,1.8287947177886963,0.5062011480331421,0.46833497285842896
MHA_h4_l4_lr0.01,2000,1.6052404642105103,1.7914478778839111,0.5129638910293579,0.4702392518520355
MHA_h8_l4_lr0.01,1,3.4086050987243652,3.4443485736846924,0.17521972954273224,0.17290039360523224
MHA_h8_l4_lr0.01,250,2.4424123764038086,2.478677272796631,0.27580565214157104,0.269775390625
MHA_h8_l4_lr0.01,500,2.234705686569214,2.268822193145752,0.3430419862270355,0.34016114473342896
MHA_h8_l4_lr0.01,750,2.0751051902770996,2.1422626972198486,0.387451171875,0.37189942598342896
MHA_h8_l4_lr0.01,1000,1.9338948726654053,2.033156156539917,0.42817384004592896,0.40156251192092896
MHA_h8_l4_lr0.01,1250,1.8264360427856445,1.9560487270355225,0.4561767578125,0.42512208223342896
MHA_h8_l4_lr0.01,1500,1.761993408203125,1.9329795837402344,0.4745117127895355,0.43391114473342896
MHA_h8_l4_lr0.01,1750,1.7078320980072021,1.8726917505264282,0.4847656190395355,0.44572752714157104
MHA_h8_l4_lr0.01,2000,1.66217041015625,1.8420674800872803,0.49943846464157104,0.45512694120407104
MHA_h16_l4_lr0.01,1,3.407778263092041,3.4438424110412598,0.17355957627296448,0.1719970703125
MHA_h16_l4_lr0.01,250,2.324911594390869,2.374061346054077,0.3194824159145355,0.3095459043979645
MHA_h16_l4_lr0.01,500,2.076345920562744,2.138062000274658,0.3856445252895355,0.369140625
MHA_h16_l4_lr0.01,750,1.9153501987457275,2.0226528644561768,0.43291014432907104,0.40498048067092896
MHA_h16_l4_lr0.01,1000,1.8190562725067139,1.9778451919555664,0.4581054747104645,0.424560546875
MHA_h16_l4_lr0.01,1250,1.734551191329956,1.9017550945281982,0.4756103456020355,0.4363769590854645
MHA_h16_l4_lr0.01,1500,1.6762422323226929,1.8801052570343018,0.4935058653354645,0.4498046934604645
MHA_h16_l4_lr0.01,1750,1.6491130590438843,1.8265488147735596,0.500683605670929,0.4652099609375
MHA_h16_l4_lr0.01,2000,1.6192286014556885,1.8129733800888062,0.508471667766571,0.45988768339157104
MHA_h8_l6_lr0.1,1,3.8682656288146973,3.911639451980591,0.166259765625,0.16020508110523224
MHA_h8_l6_lr0.1,250,3.054776668548584,3.0642123222351074,0.17670898139476776,0.17519530653953552
MHA_h8_l6_lr0.1,500,3.004366874694824,3.0469584465026855,0.1832275390625,0.18134765326976776
MHA_h8_l6_lr0.1,750,3.010263681411743,2.9989547729492188,0.18496093153953552,0.18715819716453552
MHA_h8_l6_lr0.1,1000,3.0368263721466064,3.051161527633667,0.17856445908546448,0.17683105170726776
MHA_h8_l6_lr0.1,1250,3.020254373550415,3.025195360183716,0.18698731064796448,0.18618163466453552
MHA_h8_l6_lr0.1,1500,3.0051960945129395,3.0530507564544678,0.188720703125,0.1826171875
