Part 4D experiment run
steps=2000, eval_every=250, eval_iters=40, configs=20, workers=8

[GQA_h8_kv4_l8_lr0.01] val_acc=0.4781 val_loss=1.7702 train_acc=0.5152 train_loss=1.5943 size=1.993M elapsed=1482.8s
[GQA_h8_kv2_l8_lr0.01] val_acc=0.4748 val_loss=1.7730 train_acc=0.5103 train_loss=1.6034 size=1.928M elapsed=1298.7s
[MHA_h8_l8_lr0.01] val_acc=0.4716 val_loss=1.7936 train_acc=0.5106 train_loss=1.6189 size=2.124M elapsed=2270.8s
[MHA_h4_l4_lr0.01] val_acc=0.4702 val_loss=1.7914 train_acc=0.5130 train_loss=1.6052 size=1.075M elapsed=958.1s
[GQA_h8_kv4_l4_lr0.01] val_acc=0.4677 val_loss=1.7910 train_acc=0.5091 train_loss=1.6059 size=1.009M elapsed=1058.5s
[GQA_h4_kv2_l4_lr0.01] val_acc=0.4668 val_loss=1.8043 train_acc=0.5083 train_loss=1.6121 size=1.009M elapsed=964.7s
[GQA_h16_kv8_l4_lr0.01] val_acc=0.4651 val_loss=1.8008 train_acc=0.5043 train_loss=1.6303 size=1.009M elapsed=1267.7s
[MHA_h16_l4_lr0.01] val_acc=0.4599 val_loss=1.8130 train_acc=0.5085 train_loss=1.6192 size=1.075M elapsed=1236.3s
[MHA_h8_l4_lr0.01] val_acc=0.4551 val_loss=1.8421 train_acc=0.4994 train_loss=1.6622 size=1.075M elapsed=1055.7s
[MHA_h2_l4_lr0.01] val_acc=0.4467 val_loss=1.8655 train_acc=0.4944 train_loss=1.6649 size=1.075M elapsed=939.4s
[GQA_h16_kv4_l6_lr0.03] val_acc=0.2506 val_loss=2.5885 train_acc=0.2519 train_loss=2.5859 size=1.452M elapsed=1527.2s
[GQA_h8_kv2_l6_lr0.03] val_acc=0.2360 val_loss=2.6824 train_acc=0.2370 train_loss=2.6710 size=1.452M elapsed=1441.9s
[MHA_h4_l6_lr0.03] val_acc=0.2278 val_loss=2.7995 train_acc=0.2235 train_loss=2.7936 size=1.599M elapsed=1564.9s
[MHA_h4_l8_lr0.03] val_acc=0.2265 val_loss=2.7729 train_acc=0.2256 train_loss=2.7584 size=2.124M elapsed=2270.4s
[GQA_h8_kv2_l4_lr0.03] val_acc=0.2262 val_loss=2.7271 train_acc=0.2278 train_loss=2.6952 size=0.976M elapsed=1004.7s
[MHA_h4_l2_lr0.03] val_acc=0.2209 val_loss=2.8237 train_acc=0.2175 train_loss=2.8204 size=0.550M elapsed=446.6s
[MHA_h8_l6_lr0.1] val_acc=0.1958 val_loss=2.9925 train_acc=0.1948 train_loss=2.9730 size=1.599M elapsed=1496.9s
[MHA_h8_l6_lr0.03] val_acc=0.1916 val_loss=3.0087 train_acc=0.1863 train_loss=3.0028 size=1.599M elapsed=1708.2s
[GQA_h8_kv1_l6_lr0.1] val_acc=0.1903 val_loss=3.0437 train_acc=0.1913 train_loss=3.0213 size=1.427M elapsed=1299.9s
[GQA_h4_kv1_l6_lr0.1] val_acc=0.1642 val_loss=3.1758 train_acc=0.1661 train_loss=3.1441 size=1.452M elapsed=1196.5s
